journal_id,journal_name,url_journal,editorial_submission_policies,citation_style,genres,timing,open_access,,Journal_Impact_Factor,Eigenfactor_Score,Category
1,Advances in Neural Information Processing Systems (NIPS),https://nips.cc/,,Submissions must use latex template. Template calls natbib. Citations look like abbrnat style.,,Deadlines are in May,Yes,,,,
2,Health Informatics Journal,https://us.sagepub.com/en-us/nam/journal/health-informatics-journal,,SageV (Sage Vancouver),Research Papers,,No,,3.021,0.001,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
3,IEEE Access,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6287639,, IEEE: IEEE Style,,,Yes,,3.244,0.00698,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
4,IEEE Transactions on Geoscience and Remote Sensing,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?reload=true&punumber=36,,,,,No,,4.942,0.04295,"REMOTE SENSING, GIS"
5,IEEE Transactions on Neural Networks and Learning Systems,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5962385,https://mc.manuscriptcentral.com/tnnls,Have their own notational style described here http://libguides.murdoch.edu.au/IEEE/home,mainly research,,No,,6.108,0.02613,"ENGINEERING, ELECTRICAL & ELECTRONIC"
6,Journal of Information Technology,https://www.palgrave.com/gp/journal/41265,,,"A research article, review article, debate, teaching case",The journal is published quarterly but the time frame for submission is not specified,Yes,,6.953,0.00284,INFORMATION SCIENCE & LIBRARY SCIENCE
7,MIS Quarterly,https://www.misq.org/,,MISQ citation format,MIS Quarterly has no a priori restrictions on the types of papers it publishes.,,Yes,,7.268,0.01246,INFORMATION SCIENCE & LIBRARY SCIENCE
8,NBER Macroeconomics Annual,http://www.journals.uchicago.edu.ezproxy4.library.arizona.edu/loi/ma,,Apa Style,The NBER Macroeconomics Annual provides a forum for leading economists to participate in important debates in macroeconomics and to report on major developments in macroeconomic analysis and policy.,They submit the journal once a year.,No,,,,
9,New Media and Society,http://www.newmediaandsociety.com/,Editorial Policies,SAGE Harvard,Theoretical and empirical papers; review articles; book reviews,Published 8x/yr (couldn't find additional info),Yes,,4.18,0.0093,COMMUNICATION
11,Social Science Computer Review,http://journals.sagepub.com.ezproxy4.library.arizona.edu/loi/ssce?expanded=2017,,Apa Style,"articles, Software Reviews, symosiums, reports and comunications, books reviews, news and notes",bimonthly,Yes,,2.293,0.0026,INFORMATION SCIENCE & LIBRARY SCIENCE